考试,考的都会 蒙的全对,考点细如金针菇
重测,重测一次满分,重测成绩还不如之前
写作业,晚自修前就写完,写了也写不完
不交作业,老师不会发现的,试试就逝世
补作业,肯定补的完,肯定补不完
复习,背了都考中,背了也没用
预习,上课睡觉也没事,上课只配睡觉
听课,听了全会,听了也不会
上课睡觉,不听也学得会,听了也学不会
内卷,你就是卷王,卷王一定是王后雄
刷题,刷的题都考的到,刷一题错一题
晚自修睡觉,作业晚自修前就能写完,作业写不完了
晚自修写作业,不写作业真的写不完了,晚自修前就写好了
晚自修看小说,作业晚自修前就能写完,作业写不完了
图书馆写作业,不写作业真的写不完了,晚自修前就写好了
图书馆看小说,作业晚自修前就能写完,作业写不完了
图书馆睡觉,作业晚自修前就能写完,作业写不完了
逛网吧,没人来抓你,保证被抓住
做值日,不然要被扣分,做了也被扣分
不做值日,Dustbin抓不住你,不然要被扣分
去办公室提问,老师全闲着,老师忙的很
去办公室喝茶,很快就能出来了,很快就能抬着出来了
去办公室对线,老师说不过你,你太嫩了
上课迟到,老师来的比你晚,迟到要表演
作业晚交,老师不会知道的,老师刚查谁没交
剁手,历史最低价,明天就掉价
抢购,肯定抢得到,一定抢不到
下单,明天就送到,快递一礼拜
收快递,包装完好,快递盒伊拉克成色
退货,商家包邮费,商家不给退
等等再买,明天就降价,明天就没货
不买立省百分百,你用不到的,早买早享受
种草,明天就开售,多一个购物车钉子户
吃饭,便宜吃得好,又贵还血亏
吃肉末蒸蛋,大家都喜欢,里面有蛋壳
吃水煮肉片,肉片超级多,就是水煮豆芽
吃酸菜鱼,鱼片还不少,就是鱼味酸菜
吃小卖部,食堂排队排不到,食堂菜超好
去课间物语,排队排的到,又要去甲醛
买铁板烧,排队排的到,排队排不到
买汉堡,快点吃好去内卷,排队排不到
吃鸡肉卷,快点吃好去内卷,排队排不到
吃煲仔饭,今天真香,早卖完了
吃白宰鸡,鸡肉没骨头,酱油没咸味
吃烤鸭,鸭肉烤的真香,只有色没有味
打篮球,乱投篮都能进,随便打都吃萝卜干
打乒乓,刀削面玩的嗨,球球不上台
打排球,乱接球都过网,手腕都打红了
打羽毛球,大力出奇迹,球球不过网
踢足球,球球进空门,守门黄油手
